Date	S&P
5/30/08	1400.38
6/2/08	1385.67
6/3/08	1377.65
6/4/08	1377.2
6/5/08	1404.05
6/6/08	1360.68
6/9/08	1361.76
6/10/08	1358.44
6/11/08	1335.49
6/12/08	1339.87
6/13/08	1360.03
6/16/08	1360.14
6/17/08	1350.93
6/18/08	1337.81
6/19/08	1342.83
6/20/08	1317.93
6/23/08	1318
6/24/08	1314.29
6/25/08	1321.97
6/26/08	1283.15
6/27/08	1278.38
6/30/08	1280
7/1/08	1284.91
7/2/08	1261.52
7/3/08	1262.9
7/7/08	1252.31
7/8/08	1273.7
7/9/08	1244.69
7/10/08	1253.39
7/11/08	1239.49
7/14/08	1228.3
7/15/08	1214.91
7/16/08	1245.36
7/17/08	1260.32
7/18/08	1260.68
7/21/08	1260
7/22/08	1277
7/23/08	1282.19
7/24/08	1252.54
7/25/08	1257.76
7/28/08	1234.37
7/29/08	1263.2
7/30/08	1284.26
7/31/08	1267.38
8/1/08	1260.31
8/4/08	1249.01
8/5/08	1284.88
8/6/08	1289.19
8/7/08	1266.07
8/8/08	1296.32
8/11/08	1305.32
8/12/08	1289.59
8/13/08	1285.83
8/14/08	1292.93
8/15/08	1298.2
8/18/08	1278.6
8/19/08	1266.69
8/20/08	1274.54
8/21/08	1277.72
8/22/08	1292.2
8/25/08	1266.84
8/26/08	1271.51
8/27/08	1281.66
8/28/08	1300.68
8/29/08	1282.83
9/2/08	1277.58
9/3/08	1274.98
9/4/08	1236.83
9/5/08	1242.31
9/8/08	1267.79
9/9/08	1224.51
9/10/08	1232.04
9/11/08	1249.05
9/12/08	1251.7
9/15/08	1192.7
9/16/08	1213.6
9/17/08	1156.39
9/18/08	1206.51
9/19/08	1255.08
9/22/08	1207.09
9/23/08	1188.22
9/24/08	1185.87
9/25/08	1209.18
9/26/08	1213.27
9/29/08	1106.42
9/30/08	1166.36
10/1/08	1161.06
10/2/08	1114.28
10/3/08	1099.23
10/6/08	1056.89
10/7/08	996.23
10/8/08	984.94
10/9/08	909.92
10/10/08	899.22
10/13/08	1003.35
10/14/08	998.01
10/15/08	907.84
10/16/08	946.43
10/17/08	940.55
10/20/08	985.4
10/21/08	955.05
10/22/08	896.78
10/23/08	908.11
10/24/08	876.77
10/27/08	848.92
10/28/08	940.51
10/29/08	930.09
10/30/08	954.09
10/31/08	968.75
11/3/08	966.3
11/4/08	1005.75
11/5/08	952.77
11/6/08	904.88
11/7/08	930.99
11/10/08	919.21
11/11/08	898.95
11/12/08	852.3
11/13/08	911.29
11/14/08	873.29
11/17/08	850.75
11/18/08	859.12
11/19/08	806.58
11/20/08	752.44
11/21/08	800.03
11/24/08	851.81
11/25/08	857.39
11/26/08	887.68
11/28/08	896.24
12/1/08	816.21
12/2/08	848.81
12/3/08	870.74
12/4/08	845.22
12/5/08	876.07
12/8/08	909.7
12/9/08	888.67
12/10/08	899.24
12/11/08	873.59
12/12/08	879.73
12/15/08	868.57
12/16/08	913.18
12/17/08	904.42
12/18/08	885.28
12/19/08	887.88
12/22/08	871.63
12/23/08	863.16
12/24/08	868.15
12/26/08	872.8
12/29/08	869.42
12/30/08	890.64
12/31/08	903.25
1/2/09	931.8
1/5/09	927.45
1/6/09	934.7
1/7/09	906.65
1/8/09	909.73
1/9/09	890.35
1/12/09	870.26
1/13/09	871.79
1/14/09	842.62
1/15/09	843.74
1/16/09	850.12
1/20/09	805.22
1/21/09	840.24
